trace_date,Date & Time of Capture:,please see ControlDesk_Capture.DateTime
trace_headlines,DSP Program Name:,please see ControlDesk_RTProgram.ObjectFile
,Date & Time of DSP Program:,please see ControlDesk_RTProgram.DateTime
,Interval:,please see ControlDesk_Capture.Length
,Delay:,please see ControlDesk_Capture.TriggerDelay
,Downsampling:,please see ControlDesk_Capture.Downsamping
,Time Base:,please see ControlDesk_Capture.SamplingPeriod
,Trigger Signal:,please see ControlDesk_Capture.TriggerSignal
,Trigger Edge:,please see ControlDesk_Capture.TriggerEdge
,Trigger Level:,please see ControlDesk_Capture.TriggerLevel

ControlDesk_Description,"Description",
,"Author",
,"GeneratorVersion","ControlDesk CSV File Format Revision 1.0"

ControlDesk_RTProgram,"BoardName","ds1005"
,"DateTime","11/17/2020 20:42:02"
,"ObjectFile","d:\Program Files\MATLAB\R2006a\work\xzx_11_06_B\mpc_newpm.ppc"

ControlDesk_Capture,"Length","1"
,"Downsampling","1"
,"DateTime","11/17/2020 21:01:31"
,"Task","1"
,"SamplingPeriod","5e-005"
,"TriggerState","off"
,"TriggerSignal",
,"TriggerDelay","0"
,"TriggerLevel","0"
,"TriggerEdge","neg"


trace_size,20001
trace_types,4,5,5,5,5,5,5,5,5,5,5,5,5
trace_names,,"""Model Root""/""Goto1""/""In1""","""Model Root""/""Goto12""/""In1""","""Model Root""/""Goto14""/""In1""","""Model Root""/""Goto15""/""In1""","""Model Root""/""Goto2""/""In1""","""Model Root""/""Goto3""/""In1""","""Model Root""/""Goto33""/""In1""","""Model Root""/""Goto4""/""In1""","""Model Root""/""Goto5""/""In1""","""Model Root""/""Goto6""/""In1""","""Model Root""/""Goto8""/""In1""","""Model Root""/""Goto9""/""In1"""
trace_units,,,,,,,,,,,,,
trace_values,0,0.0361124674,-0.069780681,0.0043554262,-0.00030872662,-0.39588379,0.1540387,-0.3233138,0.21822454,99.37507656,60.20936124,19.07166515,0.11487699
,5.001e-005,0.0356038411,-0.060926886,0.0039364094,-0.00010351018,-0.28958089,0.083311267,-0.32585693,0.21420732,99.37507656,60.21136213,19.07147733,0.055432272
,0.00010002,0.0345865885,-0.050025473,0.0030288213,4.7683273e-005,-0.16852783,0.011126559,-0.30500326,0.19700263,99.37507656,60.20794197,19.06995062,0.14023099
,0.00015,0.0361124674,-0.016081408,0.0030288213,4.7683273e-005,-0.099354655,-0.042879466,-0.3309432,0.20999499,99.37507656,60.20830126,19.07000826,-0.012081305
,0.00020001,0.0356038411,0.014019942,0.0030288213,4.7683273e-005,-0.14309652,-0.015776623,-0.33908122,0.21582537,99.37507656,60.20814892,19.06993209,0.0061148034
,0.00025002,0.0350952148,-0.010199015,0.0030288213,4.7683273e-005,-0.24685628,0.061707895,-0.31822754,0.20671617,99.37507656,60.20706763,19.06950518,0.059718857
,0.0003,0.0350952148,-0.024146042,0.0029968834,3.804488e-005,-0.26008057,0.06165191,-0.34620199,0.22252535,99.37507656,60.20817008,19.06873434,0.053054742
,0.00035001,0.0356038411,-0.0010625184,0.0029968834,3.804488e-005,-0.21176107,0.013940694,-0.39401286,0.24859654,99.37507656,60.20742867,19.06870526,-0.028113154
,0.00040002,0.0350952148,0.0098888892,0.0029968834,3.804488e-005,-0.17157959,-0.027874155,-0.44029785,0.27383133,99.37507656,60.20794668,19.06895353,-0.01586242
,0.00045,0.0361124674,0.0090017769,0.0029968834,3.804488e-005,-0.20921794,-0.0031930235,-0.44640137,0.27857443,99.37507656,60.20829899,19.0691739,-0.010223008
,0.00050001,0.0350952148,-0.011540191,0.0029968834,3.804488e-005,-0.31399495,0.075562177,-0.42351318,0.26603528,99.37507656,60.20629574,19.0688959,0.056015128
,0.00055002,0.0361124674,-0.029228928,0.0029968834,3.804488e-005,-0.32365885,0.075032786,-0.4489445,0.28090232,99.31043914,60.20808594,19.06819673,0.049633601
,0.0006,0.0340779622,-0.0017755453,0.0029968834,3.804488e-005,-0.23159749,0.014399758,-0.4489445,0.27896666,99.31043914,60.20694615,19.06815506,-0.029916368
,0.00065001,0.0361124674,-0.018365861,0.0029968834,3.804488e-005,-0.16089844,-0.036939034,-0.46776367,0.29087245,99.31043914,60.2081352,19.06772923,-0.030078446
,0.00070002,0.0356038411,-0.017001874,0.0030287656,0.00018274069,-0.20616618,-0.0083315287,-0.47641032,0.29564648,99.31043914,60.20815341,19.06773201,-0.00050438468
,0.00075,0.0356038411,-0.01175225,0.0030287656,0.00018274069,-0.36180583,0.1327953,-0.36705566,0.23129635,99.31043914,60.2067991,19.06737338,0.058639623
,0.00080001,0.0356038411,-0.024119014,0.0033181168,-0.00010158564,-0.40097005,0.16982304,-0.33704671,0.21279724,99.31043914,60.20819209,19.06672165,0.049791046
,0.00085002,0.0356038411,-0.067912386,0.0029334299,0.00014707855,-0.29975342,0.10375282,-0.33602946,0.21262949,99.31043914,60.20982765,19.06676217,0.050442733
,0.0009,0.0366210937,-0.063082496,0.0020588041,0.00037758201,-0.18938151,0.03876061,-0.3136499,0.20135588,99.31043914,60.20700066,19.06470297,0.13516414
,0.00095001,0.0350952148,-0.011683197,0.0020588041,0.00037758201,-0.12376872,-0.00963522,-0.32992594,0.2111141,99.31043914,60.20714209,19.06468736,-0.0047991024
,0.00100002,0.0340779622,0.0092528325,0.0020588041,0.00037758201,-0.16903646,0.018358273,-0.33908122,0.21494281,99.31043914,60.20684992,19.06471275,0.011790154
